keyword,currency,avg_monthly_searches,three_month_change,yoy_change,competition,competition_index,bid_low,bid_high,ad_impression_share,organic_impression_share,organic_avg_position,in_account,in_plan,searches_2025_07,searches_2025_08,searches_2025_09,searches_2025_10,searches_2025_11,searches_2025_12,searches_2026_01,searches_2026_02,searches_2026_03,searches_2026_04,searches_2026_05,searches_2026_06,priority_bucket
bounce house and chair rental,USD,10,0%,0%,Medium,60,0.73,2.12,,,,,,10,10,20,10,30,10,10,20,20,10,10,10,deprioritize_rental
jumper water slide rentals near me,USD,170,414%,85%,Medium,60,0.60,2.01,,,,,,390,170,50,10,10,10,10,10,140,140,260,720,deprioritize_rental
bouncy castle waterslide,USD,10,100%,100%,High,100,0.48,1.11,,,,,,20,10,10,10,10,10,10,10,10,10,10,20,other
large waterslide for sale,USD,30,67%,-55%,High,99,0.24,1.12,,,,,,90,50,10,10,10,10,10,10,30,30,30,50,secondary
bounce for adults,USD,90,-22%,-36%,High,72,0.42,1.09,,,,,,140,90,90,110,110,140,110,90,70,90,110,70,other
jumping castle and water slide,USD,90,91%,0%,High,89,0.42,1.84,,,,,,170,90,70,20,10,10,10,20,140,110,170,210,other
inflatable slide adults,USD,10,300%,0%,High,100,0.24,1.76,,,,,,30,10,10,10,10,10,10,10,20,10,30,40,other
commercial bounce house slide combo,USD,20,-33%,0%,High,100,0.88,2.66,,,,,,20,20,20,10,10,10,10,20,20,30,20,20,primary
skid steer bounce house,USD,140,27%,-18%,High,84,0.51,1.74,,,,,,140,210,170,170,90,50,90,110,140,110,170,140,other
rental bouncers near me,USD,10,-100%,-100%,Unknown,,,,,,,,,0,0,10,0,0,0,10,0,10,10,0,0,deprioritize_rental
inflatable toys rental,USD,20,0%,-33%,High,96,0.82,1.82,,,,,,20,30,20,10,10,10,10,10,10,20,10,20,deprioritize_rental
inflatable water slide blower,USD,390,129%,-94%,High,100,0.21,0.77,,,,,,1900,880,480,50,10,20,40,50,170,210,590,480,other
big bounce house with water slide,USD,30,133%,40%,High,100,0.41,1.98,,,,,,50,50,20,10,10,10,10,10,10,30,50,70,other
bounce house slide combo for sale,USD,30,-20%,100%,High,100,0.34,1.92,,,,,,20,30,20,30,20,10,20,30,50,50,50,40,secondary
industrial jumping castle,USD,10,0%,0%,High,100,0.16,0.61,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,other
themed bounce house rentals,USD,1300,0%,0%,High,68,0.75,1.90,,,,,,10,9900,6600,20,10,10,30,10,40,10,10,10,deprioritize_rental
commercial inflatable playground,USD,10,0%,0%,High,67,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,primary
self inflating bounce house,USD,70,0%,75%,High,100,0.26,0.97,,,,,,70,50,50,70,170,110,70,50,70,70,50,70,other
giant water bounce house,USD,40,200%,-18%,High,100,0.37,1.65,,,,,,70,40,30,10,10,10,10,10,30,30,90,90,other
bouncy castle slides,USD,390,0%,-34%,High,100,0.40,1.70,,,,,,480,480,480,320,210,210,210,170,390,390,390,390,other
commercial castle bounce house,USD,10,0%,0%,High,100,0.50,1.50,,,,,,20,20,30,10,10,10,10,10,10,20,20,20,primary
blow up playhouse,USD,480,23%,0%,High,99,0.30,1.81,,,,,,480,390,390,390,390,480,390,390,390,480,480,590,other
bounce house wholesale near me,USD,30,33%,100%,High,100,0.29,2.31,,,,,,20,10,10,30,30,20,20,30,50,30,30,40,primary
blow up bounce house rental near me,USD,30,67%,25%,Medium,48,0.69,2.41,,,,,,40,50,40,40,10,10,20,10,40,30,30,50,deprioritize_rental
white jump castle,USD,90,-22%,-50%,High,100,0.25,1.58,,,,,,110,140,90,110,70,50,90,140,140,90,90,70,other
indoor inflatable rental,USD,50,-33%,-33%,High,94,0.52,2.01,,,,,,30,40,50,50,70,50,90,50,70,30,20,20,deprioritize_rental
party rental bounce house near me,USD,40,25%,-29%,High,78,0.69,2.43,,,,,,70,40,50,20,20,20,30,20,70,40,50,50,deprioritize_rental
inflatable supplier,USD,10,0%,0%,High,86,,,,,,,,20,20,20,10,10,20,10,10,10,10,10,10,other
a bouncy castle,USD,30,33%,-20%,High,100,,,,,,,,30,30,30,40,40,30,30,20,30,30,40,40,other
big water bounce house rental,USD,10,0%,-50%,High,91,0.75,1.94,,,,,,30,10,10,10,0,10,10,10,20,20,20,20,deprioritize_rental
rent a bounce house with water slide,USD,10,100%,-33%,Medium,65,0.61,1.93,,,,,,30,10,10,0,0,0,10,10,10,10,10,20,deprioritize_rental
blow up jumpers for sale,USD,210,-19%,21%,High,100,0.21,0.99,,,,,,110,140,140,720,140,140,110,140,210,210,170,170,secondary
titanic inflatable slide,USD,590,0%,-18%,High,70,1.13,2.25,,,,,,720,720,480,590,390,390,390,320,480,590,720,590,other
wet and dry bounce house rentals near me,USD,10,0%,0%,Medium,55,0.72,1.92,,,,,,10,10,10,10,0,0,10,10,10,10,10,10,deprioritize_rental
indoor bounce house for adults,USD,90,-57%,-79%,High,98,0.40,1.36,,,,,,110,140,90,90,110,70,90,70,70,70,50,30,other
giant inflatable water slides,USD,880,173%,26%,High,100,0.29,1.72,,,,,,1900,1000,390,320,210,170,210,260,720,880,1300,2400,other
large moon bounce for sale,USD,10,0%,-50%,High,100,0.28,1.56,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,secondary
inflatables made in usa,USD,10,0%,0%,High,100,,,,,,,,10,10,0,10,10,10,0,0,0,10,10,10,other
combo water slide rentals,USD,20,25%,-71%,High,95,0.81,1.92,,,,,,70,50,10,10,0,10,10,10,20,40,40,50,deprioritize_rental
bounce and slide party rentals,USD,70,80%,-47%,Low,21,0.77,2.54,,,,,,140,170,90,90,40,50,40,50,30,50,70,90,deprioritize_rental
large outdoor bounce house,USD,30,100%,0%,High,100,0.31,1.45,,,,,,30,20,30,20,30,20,20,30,40,20,30,40,other
most popular bounce houses,USD,10,0%,0%,High,100,,,,,,,,10,10,0,10,10,10,10,0,10,10,10,10,other
jumporange bounce house,USD,320,108%,376%,High,100,0.36,1.98,,,,,,170,110,90,110,110,70,110,320,390,480,720,1000,other
bounce house for all ages,USD,20,100%,33%,High,100,0.34,1.55,,,,,,50,20,10,10,10,10,10,10,30,20,30,40,other
unique bounce house,USD,30,67%,0%,High,100,0.36,1.84,,,,,,50,40,50,30,20,20,30,20,50,30,20,50,other
bounce zone inflatables,USD,10,100%,0%,High,100,1.42,3.17,,,,,,10,10,10,10,10,10,10,10,10,10,10,20,other
outdoor inflatable rentals near me,USD,20,100%,0%,High,87,0.76,1.91,,,,,,30,10,10,10,20,10,10,10,20,20,40,40,deprioritize_rental
dry bounce house,USD,40,40%,40%,High,100,0.30,1.45,,,,,,50,40,20,10,20,10,10,20,50,50,70,70,other
used inflatables,USD,70,57%,0%,High,79,0.25,1.24,,,,,,90,90,110,70,70,40,90,50,70,70,70,110,other
moon bounce blower,USD,70,0%,-18%,High,100,0.27,0.98,,,,,,140,70,50,70,50,50,20,50,90,90,70,90,other
adult bounce house water slide,USD,50,180%,-18%,High,100,0.30,1.71,,,,,,110,50,30,10,10,10,20,10,30,50,140,140,other
$100 bounce house rental,USD,10,0%,0%,High,91,0.79,1.90,,,,,,20,10,20,30,10,10,10,10,10,10,20,10,deprioritize_rental
bounce house with tall slide,USD,40,33%,33%,High,100,0.33,1.11,,,,,,40,20,30,40,40,70,30,30,40,30,30,40,other
used inflatable bounce house for sale,USD,20,-50%,0%,High,100,0.17,1.30,,,,,,20,20,20,20,10,10,10,20,50,40,20,20,secondary
inflatable slide manufacturer,USD,10,0%,0%,High,100,1.28,3.61,,,,,,10,20,10,10,10,10,10,10,10,10,10,10,primary
jumper prices,USD,140,-33%,-33%,High,85,0.13,1.34,,,,,,170,140,140,170,140,110,140,140,170,210,170,140,other
bounce house for rent cheap near me,USD,10,-50%,0%,High,87,,,,,,,,10,10,20,10,10,0,10,10,10,20,10,10,deprioritize_rental
blow up slide and bounce house,USD,20,0%,0%,High,100,0.46,1.56,,,,,,10,30,10,10,10,10,10,10,10,30,30,30,other
20ft water slide for sale,USD,30,125%,80%,High,100,0.25,1.30,,,,,,90,70,20,10,10,10,10,10,20,40,50,90,secondary
jumper cost,USD,140,-33%,-33%,High,85,0.13,1.34,,,,,,170,140,140,170,140,110,140,140,170,210,170,140,other
wet and dry bounce house for sale,USD,20,33%,-43%,High,100,0.26,0.88,,,,,,40,20,20,10,10,10,20,20,40,30,40,40,secondary
large inflatable slides for sale,USD,20,100%,100%,High,100,0.27,1.42,,,,,,20,50,10,10,10,10,10,10,20,20,40,40,secondary
best place to buy inflatables,USD,20,0%,-33%,High,100,0.58,1.86,,,,,,20,20,20,20,20,10,10,20,10,20,20,20,secondary
castle water slide,USD,90,133%,0%,High,100,0.44,1.79,,,,,,210,110,30,30,10,20,30,20,70,90,170,210,other
jumping slide,USD,320,23%,0%,High,69,0.42,2.25,,,,,,480,390,320,320,260,210,260,210,260,390,480,480,other
bounce house with a water slide,USD,12100,124%,-18%,High,100,0.38,1.75,,,,,,27100,14800,5400,2400,1900,1900,2900,4400,12100,14800,22200,33100,other
wwe bounce house rental,USD,40,-20%,0%,Medium,38,0.71,1.97,,,,,,70,90,50,20,20,10,40,30,40,50,50,40,deprioritize_rental
blow up slides near me,USD,70,240%,0%,High,100,0.92,2.19,,,,,,210,110,50,30,10,10,10,10,20,50,110,170,deprioritize_rental
inflatables for sale cheap,USD,10,200%,200%,High,94,0.29,3.14,,,,,,10,10,20,10,10,10,10,10,10,10,20,30,secondary
frozen bounce house for sale,USD,20,-67%,-67%,High,100,0.27,0.85,,,,,,20,30,10,20,20,10,20,20,40,30,20,10,secondary
inflatable water house,USD,50,240%,0%,High,100,0.36,1.75,,,,,,110,50,20,10,10,20,20,30,90,50,110,170,other
finance inflatable water slide,USD,10,100%,-33%,High,100,1.37,5.86,,,,,,20,10,10,0,10,0,10,0,10,10,10,20,other
inflatable rides for rent,USD,10,0%,0%,Medium,40,1.50,3.57,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,deprioritize_rental
bouncy waterslide,USD,390,108%,-23%,High,100,0.38,1.78,,,,,,880,390,140,70,50,40,70,140,480,480,880,1000,other
jump house party rentals,USD,260,0%,0%,Low,24,0.60,2.39,,,,,,320,260,260,260,170,140,260,210,390,320,390,320,deprioritize_rental
bounce house in store near me,USD,110,21%,143%,High,100,0.16,0.81,,,,,,70,70,90,70,70,110,90,90,110,140,210,170,deprioritize_rental
wet dry bounce house for sale,USD,20,33%,-43%,High,100,0.26,0.88,,,,,,40,20,20,10,10,10,20,20,40,30,40,40,secondary
water slide inflatable near me,USD,140,182%,23%,High,99,0.79,2.10,,,,,,320,140,30,10,10,10,10,20,140,170,260,480,deprioritize_rental
large inflatable rentals,USD,10,200%,0%,High,87,1.25,2.31,,,,,,10,20,10,10,10,10,10,20,10,10,20,30,deprioritize_rental
commercial bounce house starter packages,USD,10,0%,0%,High,100,,,,,,,,10,10,10,10,10,0,10,10,10,10,10,10,primary
hot pink bounce house,USD,20,100%,0%,High,96,0.59,1.69,,,,,,20,30,10,10,10,10,20,30,20,10,20,20,other
construction blow up bounce house,USD,10,0%,0%,High,67,,,,,,,,10,20,10,10,10,10,10,10,10,10,10,10,other
pink inflatable water slide,USD,90,136%,24%,High,100,0.41,1.60,,,,,,170,70,20,50,20,10,30,40,110,110,170,260,other
inflatable jumping castle water slide,USD,10,0%,-50%,High,100,,,,,,,,20,10,10,10,10,10,10,10,10,10,10,10,other
commercial inflatable slip and slide,USD,30,125%,29%,High,100,0.40,1.66,,,,,,70,30,10,10,10,20,30,20,20,40,70,90,primary
bounce house for sale water slide,USD,20,0%,-33%,High,100,0.25,1.08,,,,,,70,20,10,10,10,10,10,10,10,20,30,20,secondary
commercial bounce slide,USD,10,0%,50%,High,100,0.45,1.82,,,,,,20,20,10,20,10,10,10,10,10,30,20,30,primary
buy large inflatables,USD,10,100%,0%,High,100,0.30,2.68,,,,,,10,10,10,10,10,10,10,10,10,10,10,20,secondary
inflatable jump places,USD,20,0%,-50%,High,90,,,,,,,,10,20,10,20,10,10,20,30,30,10,20,10,other
obstacle jump house,USD,110,-35%,-21%,High,100,0.44,1.85,,,,,,140,140,140,90,140,70,90,110,140,170,170,110,other
water jumping castle for sale,USD,10,0%,0%,High,100,,,,,,,,10,10,10,0,0,10,0,10,10,10,10,10,secondary
places to rent bounce houses near me,USD,70,0%,-36%,Medium,37,0.42,1.69,,,,,,90,110,110,90,30,30,40,40,90,70,70,70,deprioritize_rental
buy a water slide bounce house,USD,10,100%,33%,High,100,0.20,1.06,,,,,,30,20,10,10,0,10,0,10,20,20,20,40,secondary
amazing bounce house,USD,90,0%,-36%,High,72,1.17,2.93,,,,,,140,90,70,90,50,70,90,90,90,90,110,90,other
all about bounce party rentals,USD,10,100%,-60%,Medium,49,0.56,1.50,,,,,,20,20,10,10,10,10,10,10,10,10,10,20,deprioritize_rental
outdoor bounce house water slide,USD,10,0%,-71%,High,100,0.38,1.51,,,,,,40,10,10,10,10,10,10,10,20,20,30,20,other
commercial bounce house manufacturers,USD,40,67%,150%,Medium,48,1.07,5.32,,,,,,20,30,110,30,40,30,20,10,50,30,50,50,primary
indoor inflatable slide,USD,110,0%,0%,High,96,0.31,1.29,,,,,,90,110,90,140,140,140,110,90,70,90,90,90,other
denver bounce house,USD,170,-33%,-46%,High,89,1.01,1.86,,,,,,210,210,170,110,170,140,170,140,210,210,170,140,other
birthday blow up rentals,USD,10,-50%,-50%,High,94,1.31,2.29,,,,,,30,20,10,10,10,10,10,20,10,20,10,10,deprioritize_rental
new jumpers for sale,USD,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,0,secondary
outdoor inflatable rentals,USD,20,100%,0%,High,94,0.39,1.95,,,,,,50,30,20,10,10,10,10,20,20,20,30,40,deprioritize_rental
18 ft water slide for sale,USD,70,136%,53%,High,100,0.23,1.18,,,,,,110,90,40,10,10,10,10,30,110,110,140,260,secondary
bounce house with slide inside,USD,110,-66%,-35%,High,88,0.53,1.33,,,,,,90,90,90,110,110,70,70,70,170,320,110,110,other
commercial bounce house rental,USD,110,-59%,-22%,High,100,0.44,1.78,,,,,,90,210,170,50,50,140,90,50,110,170,140,70,primary
blow up bouncy castle rental,USD,10,0%,0%,Medium,50,,,,,,,,10,20,0,10,10,0,10,0,10,10,10,10,deprioritize_rental
party jump house rentals,USD,260,0%,0%,Low,24,0.60,2.39,,,,,,320,260,260,260,170,140,260,210,390,320,390,320,deprioritize_rental
character bounce house,USD,40,-43%,33%,High,100,0.42,1.89,,,,,,40,40,40,30,30,20,20,50,50,70,50,40,other
water bounce house rental for adults,USD,10,100%,-20%,High,72,0.84,2.22,,,,,,40,10,10,10,0,10,10,10,10,20,30,40,deprioritize_rental
digger bounce house,USD,10,0%,-67%,Medium,51,0.66,2.45,,,,,,30,20,10,10,10,10,10,10,10,10,10,10,other
inflatable water slide castle,USD,10,0%,-25%,High,97,0.44,1.80,,,,,,20,30,10,10,10,10,0,10,10,30,40,30,other
commercial inflatable water slides clearance,USD,10,0%,0%,High,100,,,,,,,,10,10,10,0,10,10,10,10,10,10,10,10,primary
inflatable water park to buy,USD,390,50%,-34%,High,100,0.30,1.96,,,,,,2900,390,140,40,70,90,70,70,210,260,260,390,other
water obstacle course bounce house,USD,20,50%,-57%,High,100,0.73,1.98,,,,,,50,20,20,10,10,10,10,10,30,20,30,30,other
jumping rentals for parties,USD,210,0%,-19%,Medium,42,0.74,3.28,,,,,,260,260,210,140,170,70,110,140,210,260,320,260,deprioritize_rental
jumper business,USD,30,-40%,-25%,Medium,44,,,,,,,,40,30,20,30,20,30,30,40,50,50,20,30,other
jumpy slide rental,USD,10,0%,-50%,High,100,1.13,2.01,,,,,,20,10,10,10,10,10,10,10,10,10,10,10,deprioritize_rental
best bounce house manufacturer,USD,10,0%,0%,High,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,primary
commercial water slide for pool,USD,20,100%,-20%,High,100,0.41,1.56,,,,,,30,20,10,20,10,10,10,10,20,20,30,40,primary
the best bounce house to buy,USD,10,0%,0%,High,100,0.46,1.05,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,other
unicorn bounce house water slide,USD,20,300%,-43%,High,100,0.67,2.96,,,,,,50,30,10,10,10,10,10,10,10,10,40,40,other
best bounce houses for sale,USD,70,-44%,-55%,High,100,0.43,1.41,,,,,,70,90,110,70,70,30,30,50,70,90,70,50,secondary
commercial inflatable obstacle course for sale,USD,20,-33%,100%,High,100,0.87,2.86,,,,,,10,20,30,30,10,10,20,20,30,30,30,20,primary
bounce house wholesale china,USD,10,0%,0%,High,100,,,,,,,,10,10,10,10,10,0,10,10,10,10,10,10,primary
bounce house water slide combo rentals near me,USD,10,100%,0%,Low,28,0.62,2.15,,,,,,50,10,10,0,0,10,0,10,10,10,10,20,deprioritize_rental
moon walk usa,USD,1000,23%,-16%,High,100,0.03,2.31,,,,,,1300,1000,880,720,590,390,720,720,1000,1300,1600,1600,other
affordable bounce,USD,1000,0%,-19%,Low,26,1.21,1.73,,,,,,1300,1000,1000,1000,720,590,590,720,1300,1300,1300,1300,other
commercial inflatables packages,USD,10,100%,0%,High,100,0.70,16.77,,,,,,20,10,10,10,10,10,10,10,20,10,10,20,primary
pink bounce house with slide,USD,170,0%,24%,High,99,0.33,1.62,,,,,,170,170,170,140,110,50,110,170,260,210,260,210,other
jumpers for adults,USD,320,0%,-33%,High,80,0.23,1.25,,,,,,480,390,390,390,320,320,320,260,320,320,390,320,other
inflatable bounce house obstacle course,USD,50,-43%,-43%,High,100,0.41,2.01,,,,,,50,40,40,50,50,30,50,30,90,70,90,40,other
inflatable slide rental cost,USD,10,100%,0%,Medium,43,0.82,1.92,,,,,,10,20,10,10,10,10,10,10,10,10,20,20,deprioritize_rental
water slide combo rentals near me,USD,10,400%,25%,High,69,0.76,2.05,,,,,,20,50,10,10,10,0,0,10,10,10,10,50,deprioritize_rental
blow up inflatable water slide,USD,40,180%,27%,High,100,0.37,1.60,,,,,,70,40,10,10,10,0,10,10,20,50,70,140,other
outdoor inflatable playground,USD,40,0%,0%,High,100,0.33,1.30,,,,,,30,40,30,20,30,30,30,20,70,50,40,50,other
all black bounce house,USD,20,0%,0%,High,100,0.27,1.92,,,,,,30,30,20,30,10,10,20,20,20,20,20,20,other
bouncy castle usa,USD,30,0%,0%,High,94,,,,,,,,10,10,10,10,170,50,10,0,10,10,10,10,other
jump house rental atlanta,USD,590,-33%,-55%,High,98,1.23,2.73,,,,,,880,720,720,720,320,260,390,480,880,880,880,590,deprioritize_rental
optical course bounce house,USD,10,0%,0%,High,93,0.26,4.32,,,,,,10,20,30,10,10,10,10,10,10,20,10,20,other
wet bounce house for sale,USD,10,200%,-40%,High,100,0.34,1.57,,,,,,20,20,0,10,10,10,10,10,10,10,20,30,secondary
bounce house manufacturers in texas,USD,10,0%,-50%,Medium,62,0.37,2.99,,,,,,10,10,20,10,10,10,10,10,10,10,0,10,primary
jumpy house water slide rental,USD,10,100%,-50%,High,93,0.56,1.90,,,,,,10,10,10,0,0,0,0,0,10,10,20,20,deprioritize_rental
buy bounce house for adults,USD,10,0%,0%,High,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,secondary
commercial inflatables for sale near me,USD,10,100%,-50%,High,99,0.38,2.27,,,,,,10,10,20,10,10,10,10,10,20,10,30,20,primary
firefighter bounce house,USD,50,25%,25%,High,96,0.87,2.07,,,,,,50,90,70,70,30,40,30,10,50,40,40,50,other
water slide bounce house combo rental,USD,10,67%,25%,High,97,1.00,3.27,,,,,,20,10,10,0,0,10,10,10,10,30,30,50,deprioritize_rental
cheap commercial bounce houses,USD,10,0%,0%,High,100,,,,,,,,10,0,0,10,10,10,10,0,10,10,10,10,primary
birthday inflatable rentals near me,USD,10,0%,0%,High,96,0.88,2.11,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,deprioritize_rental
commercial jumping balloons for sale,USD,10,0%,0%,High,100,,,,,,,,10,10,0,10,10,10,0,10,10,10,10,10,primary
19 ft inflatable water slide,USD,30,67%,-44%,High,100,0.37,1.65,,,,,,90,50,20,20,10,10,10,10,10,30,40,50,other
financing bounce houses,USD,10,0%,0%,High,86,,,,,,,,0,10,10,10,0,0,10,0,10,10,10,10,other
giant jumping castle,USD,10,0%,0%,High,75,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,other
inflatable jump house rental near me,USD,20,0%,-25%,Medium,66,0.59,2.00,,,,,,30,20,30,20,20,10,10,10,30,30,10,30,deprioritize_rental
inflatable rides,USD,90,-36%,-36%,High,88,0.61,1.65,,,,,,140,170,90,140,70,50,70,50,70,140,110,90,other
bounce house games rental,USD,10,0%,0%,High,71,,,,,,,,10,10,10,10,0,0,10,10,10,10,10,10,deprioritize_rental
my bounce house,USD,20,100%,-50%,High,81,1.81,3.77,,,,,,40,30,50,20,30,10,20,10,20,10,20,20,other
buy bouncy castle with slide,USD,10,∞,∞,High,100,,,,,,,,10,0,0,10,0,0,10,10,0,0,10,10,secondary
ultimate bounce house,USD,90,27%,-33%,High,82,0.62,2.30,,,,,,110,110,90,90,40,50,70,70,90,110,110,140,other
tropical bounce house with slide,USD,20,100%,-50%,High,100,0.26,1.66,,,,,,40,30,30,20,20,10,10,10,30,10,20,20,other
inflatable slide blower,USD,50,29%,-36%,High,100,0.30,1.27,,,,,,110,50,40,20,10,20,10,10,40,70,70,90,other
bounce house manufacturers in florida,USD,10,0%,0%,High,93,0.93,2.57,,,,,,0,10,10,10,10,10,0,0,10,10,10,10,primary
bouncy castle prices,USD,40,0%,0%,High,100,0.23,1.00,,,,,,70,30,30,40,30,30,30,30,40,50,70,50,other
inflatables san antonio,USD,50,-56%,0%,High,86,0.69,1.93,,,,,,40,40,30,20,50,40,40,30,110,90,70,40,other
bounce house rental rates,USD,1000,-23%,-23%,Medium,49,0.65,1.85,,,,,,1000,1300,1000,1000,720,480,720,720,1000,1300,1300,1000,deprioritize_rental
big bounce inflatables,USD,110,55%,21%,Medium,59,0.49,3.08,,,,,,170,140,110,70,70,70,40,70,90,110,170,170,other
white moonbounce,USD,90,-18%,-36%,High,100,0.33,1.98,,,,,,110,110,140,70,50,50,70,70,90,110,90,90,other
spiderman inflatable bounce house,USD,50,-22%,40%,High,98,0.43,1.59,,,,,,40,40,40,40,50,40,50,50,70,90,90,70,other
inflatable bounce obstacle course,USD,20,0%,-33%,High,100,0.41,3.40,,,,,,20,20,30,20,20,10,10,10,10,20,20,20,other
best deals on bounce houses,USD,10,0%,-50%,High,100,,,,,,,,20,10,10,10,10,0,10,10,10,10,10,10,other
bounce house buy online,USD,40,0%,600%,High,100,0.34,2.09,,,,,,10,30,20,40,20,10,20,20,50,70,70,70,secondary
huge bounce house for rent,USD,260,0%,-18%,High,85,0.51,1.79,,,,,,260,320,260,260,140,90,170,170,260,320,390,320,deprioritize_rental
5 in 1 inflatable bounce house,USD,10,0%,-50%,High,100,,,,,,,,10,10,10,10,20,10,10,10,10,10,10,10,other
inflatable package deals,USD,10,100%,100%,High,100,0.59,2.21,,,,,,20,30,10,10,10,10,10,10,30,10,20,20,other
unicorn water slide bounce house,USD,10,100%,-33%,High,89,0.74,3.05,,,,,,30,30,10,0,10,0,10,10,10,10,10,20,other
rent unicorn bounce house,USD,10,0%,0%,High,100,1.56,3.80,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,deprioritize_rental
bouncy house bouncy house,USD,30,50%,0%,High,100,0.53,2.82,,,,,,20,40,30,20,10,20,30,20,20,20,30,30,other
jumpy house with water slide,USD,20,50%,-40%,High,100,0.41,1.91,,,,,,70,30,10,10,10,10,10,10,20,20,20,30,other
wholesale commercial bounce houses for sale,USD,10,-50%,0%,High,100,0.64,2.74,,,,,,10,10,0,10,0,10,10,0,10,20,10,10,primary
small inflatable jump house,USD,10,0%,0%,High,100,0.19,1.67,,,,,,10,10,10,10,20,10,10,10,10,10,10,10,other
castle bounce,USD,90,-20%,-20%,High,81,0.94,3.56,,,,,,390,170,90,50,140,20,40,40,50,50,70,40,other
giant inflatable slides,USD,320,51%,23%,High,100,0.30,1.84,,,,,,480,320,320,260,140,110,140,170,260,390,480,590,other
commercial size inflatable water slides,USD,10,50%,0%,High,100,0.23,1.95,,,,,,30,10,10,10,10,10,10,10,10,20,20,30,primary
18 ft commercial water slide,USD,20,350%,80%,High,100,0.43,1.98,,,,,,50,30,20,0,0,10,10,10,20,20,40,90,primary
water jumping balloon,USD,50,57%,-35%,High,100,0.46,1.55,,,,,,90,50,30,20,10,20,10,20,70,70,90,110,other
bounce house manufacturers california,USD,10,0%,0%,High,100,,,,,,,,10,10,0,0,10,0,0,10,20,10,10,10,primary
buy a bouncy castle for adults,USD,10,0%,-100%,Unknown,,,,,,,,,10,0,10,0,0,0,10,0,0,0,10,0,secondary
house jumper,USD,140,-21%,0%,Medium,61,0.67,2.86,,,,,,140,140,90,170,140,110,110,90,110,140,140,110,other
inflatable rental company,USD,260,0%,-33%,Low,25,0.94,2.51,,,,,,170,880,720,140,110,40,50,70,170,140,320,140,deprioritize_rental
bounce bounce rentals,USD,1900,0%,-17%,Medium,63,0.73,2.28,,,,,,2900,2400,2400,1900,1300,880,1000,1300,1900,2400,2400,2400,deprioritize_rental
used jumpers for sale,USD,40,-40%,-57%,High,93,0.11,0.92,,,,,,50,30,40,40,50,40,40,50,50,50,50,30,secondary
commercial fun jumps for sale,USD,10,0%,0%,High,100,0.27,0.94,,,,,,10,10,10,10,10,10,0,10,20,10,10,10,primary
party inflatables for adults,USD,30,-20%,-43%,High,100,0.79,1.91,,,,,,50,30,30,10,20,10,30,20,40,50,50,40,other
wholesale jump houses,USD,480,0%,0%,High,100,0.43,2.31,,,,,,480,480,590,320,320,260,390,390,590,590,590,590,primary
air jumpers for sale,USD,10,0%,0%,High,100,0.12,0.69,,,,,,20,10,10,10,10,10,10,10,10,10,10,10,secondary
bounce house made in usa,USD,10,0%,0%,High,100,0.68,2.17,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,other
large moon bounce,USD,10,0%,-67%,High,100,0.39,1.70,,,,,,20,10,10,10,10,10,10,10,20,10,20,10,other
small water bounce house rental,USD,10,300%,0%,High,100,0.83,2.10,,,,,,30,20,10,0,0,0,0,0,10,10,20,40,deprioritize_rental
best indoor bounce house for home,USD,10,-100%,-100%,Unknown,,,,,,,,,10,10,0,10,10,10,10,0,0,10,10,0,other
outdoor blow up bounce house,USD,20,-50%,-75%,High,100,,,,,,,,20,30,20,20,20,10,10,10,20,20,10,10,other
white inflatable jumper,USD,10,0%,0%,High,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,other
bounce house company for sale,USD,10,100%,-33%,High,94,,,,,,,,20,20,10,10,10,10,10,10,10,10,10,20,secondary
big blow up bounce house,USD,20,-50%,-67%,High,100,0.18,0.38,,,,,,30,20,30,30,10,10,10,10,10,20,20,10,other
bounce house brands,USD,30,-33%,-50%,High,100,0.37,1.21,,,,,,20,30,30,30,30,30,20,10,30,30,30,20,other
commercial inflatables made in the usa,USD,20,100%,-33%,Low,7,,,,,,,,10,40,90,30,30,20,10,10,20,10,10,20,primary
inflatable obstacle course adults,USD,10,0%,0%,High,80,0.51,1.97,,,,,,20,10,10,20,10,10,10,20,10,20,20,20,other
outdoor inflatable house,USD,10,100%,100%,High,100,0.19,1.83,,,,,,10,10,10,20,10,20,10,10,10,10,10,20,other
party inflatables for rent,USD,1600,0%,-34%,Medium,66,0.81,2.10,,,,,,2900,2400,1900,1600,1000,720,1000,1000,1600,1900,1900,1900,deprioritize_rental
indoor bounce house with blower,USD,30,0%,-50%,High,100,,,,,,,,20,10,10,20,70,50,40,30,20,10,30,10,other
