keyword,currency,avg_monthly_searches,three_month_change,yoy_change,competition,competition_index,bid_low,bid_high,ad_impression_share,organic_impression_share,organic_avg_position,in_account,in_plan,searches_2025_07,searches_2025_08,searches_2025_09,searches_2025_10,searches_2025_11,searches_2025_12,searches_2026_01,searches_2026_02,searches_2026_03,searches_2026_04,searches_2026_05,searches_2026_06,priority_bucket
moonwalks for sale near me,USD,10,0%,0%,High,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,secondary
mybouncehouse,USD,10,0%,0%,Low,17,,,,,,,,0,10,0,10,10,0,10,10,10,10,10,10,other
n flatables cutting edge,USD,10,0%,0%,Medium,60,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,branded
new inflatables,USD,20,100%,100%,High,68,0.13,0.68,,,,,,20,20,10,30,10,30,10,10,10,10,20,20,other
new water slides for sale,USD,10,0%,0%,High,100,0.24,1.25,,,,,,30,20,10,10,0,0,0,10,20,10,30,10,secondary
ninja water slide,USD,10,0%,-67%,High,100,,,,,,,,20,10,10,10,0,0,10,10,10,10,10,10,other
nylon bounce house,USD,20,-50%,0%,High,89,,,,,,,,20,10,10,10,10,20,50,10,10,20,30,10,other
obstacle course slide,USD,20,67%,67%,High,96,0.27,1.62,,,,,,20,40,10,20,20,10,10,10,20,30,40,50,other
obstacle course water slide rental near me,USD,10,50%,-40%,Medium,58,0.58,2.52,,,,,,40,20,10,10,10,0,10,10,10,20,20,30,deprioritize_rental
obstacle course with slide,USD,10,0%,0%,High,100,0.87,1.80,,,,,,10,20,10,20,20,10,10,10,10,10,10,10,other
obstacle moon bounce,USD,20,100%,100%,High,91,1.19,2.21,,,,,,20,10,10,10,10,10,20,10,20,10,30,20,other
open front bounce house,USD,10,0%,0%,High,100,,,,,,,,10,20,10,10,10,10,10,10,20,10,10,10,other
opening a bounce house business,USD,10,∞,0%,Medium,50,,,,,,,,10,10,10,10,10,0,10,10,10,0,10,10,other
orange jump bounce house,USD,10,200%,200%,High,100,0.23,1.96,,,,,,10,10,10,10,10,0,10,10,10,10,10,30,other
outdoor bounce park,USD,20,0%,-25%,Low,29,,,,,,,,30,70,20,10,20,10,10,10,30,30,20,30,other
